Supplier,Category,Product Type,Product,Weight,Pallet Count,Price,Product Info for Website,Photo
Lil Shaver Inc.,Any,Bedding / Shavings,3.0 cu. ft. Premium Screened Coarse Shavings,1- 199 bags,40,$5.00
Lil Shaver Inc.,Any,Bedding / Shavings,3.0 cu. ft. Premium Screened Coarse Shavings,200 bags or more,40,$4.75
Lil Shaver Inc.,Any,Bedding / Shavings,3.0 cu. ft. Premium Screened Fines,1 - 199 bags,40,$5.00
Lil Shaver Inc.,Any,Bedding / Shavings,3.0 cu. ft. Premium Screened Fines,200 bags or more,40,$4.75
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Beautiful Brown,2.0 cu. ft.,50,$7.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Beautiful Brown (tote),2.0 cu. yd.,50,$165.00
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Briliant Blue,2.0 cu. ft.,50,$8.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Briliant Blue (tote),2.0 cu. yd.,50,$175.00
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Elegant Ebony,2.0 cu. ft.,50,$7.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Elegant Ebony (tote),2.0 cu. yd.,50,$165.00
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Glorious Gold,2.0 cu. ft.,50,$7.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Glorious Gold (tote),2.0 cu. yd.,50,$165.00
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Groovy Green,2.0 cu. ft.,50,$8.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Groovy Green (tote),2.0 cu. yd.,50,$175.00
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Radical Red,2.0 cu. ft.,50,$7.95
Lil Shaver Inc.,Landscaping,Bedding / Shavings,Enhanced Ground Cover - Radical Red (tote),2.0 cu. yd.,50,$165.00
