Supplier,Category,Product Type,Product,Weight,Pallet Count,Price,Product Info for Website,Photo
Champion Hay Processors,Any,Hay Cubes,#1 Regular Alfalfa Cubes,25 kg,20,$8.25
Champion Hay Processors,Any,Hay Cubes,#1 Regular Alfalfa Cubes,500 kg,1,$142.50
Champion Hay Processors,Any,Hay Cubes,1 1/4 inch Alfalfa Cubes,25 kg,20,$8.25
Champion Hay Processors,Any,Hay Cubes,1 1/4 inch Alfalfa Cubes,500 kg,1,$135.00
Champion Hay Processors,Any,Hay Cubes,7/8 inch Alfalfa Cubes,25 kg,20,$8.50
Champion Hay Processors,Any,Hay Cubes,7/8 inch Alfalfa Cubes,500 kg,1,$146.00
Champion Hay Processors,Any,Hay Cubes,7/8 inch Timothy Alfalfa Cubes,25 kg,20,$8.50,"50% timothy, 50% alfalfa"
Champion Hay Processors,Any,Hay Cubes,7/8 inch Timothy Alfalfa Cubes,500 kg,1,$135.00
